year,january,february,march,april,may,june,july,august,september,october,november,december,annual 
2000,32.3,32.7,36.1,43.6,49.2,57.7,57.6,59.7,52.6,43,31.6,32.1,44
2001,25.4,25.6,37.4,36.1,53.1,55.7,59.6,61.5,55.3,49.2,36.5,27.4,43.6
2002,26.1,30.9,32.4,40.5,45.9,55.3,62.6,58.4,53.8,43.5,37.1,29.8,43
2003,34.6,29.5,37.9,33.9,47.2,56.1,63.4,59.7,55.7,48.9,32,29.2,44
2004,27.7,26.9,39.5,42.6,47.3,54.8,61,59.3,52.4,41,33.5,30.2,43
2005,25.9,31.8,34.1,37.7,46.6,50.9,63.6,60.5,50.4,45.8,38.5,34.3,43.3
2006,29.4,30.2,26.8,38.9,49.4,57.6,64.1,58.5,52.8,43.7,37.7,29.8,43.2
2007,25.7,32.2,38,41.5,49,54.9,63.4,61.9,51.7,43.8,38.4,27.5,44
2008,25.7,27.7,34.4,39.7,46.9,54.6,62,62.4,54.5,45,40.4,29.2,43.5
2009,31.6,30.7,33.8,41.4,52.6,54.1,63.9,60.3,58.4,44.8,38.5,27.5,44.8
2010,31.9,34.3,34.1,36.8,42.8,56.8,63.8,60,55.3,48.4,34.5,35.1,44.5
2011,31.5,27.3,34.2,39,43.9,53.5,61.1,60.5,58.7,47.9,37.6,32.1,43.9
2012,34.5,32.7,36.6,42.3,48.5,54.4,61.2,63.2,57.1,46.7,38.8,29.2,45.4
2013,25.8,30.9,40,44.7,49.3,59,65.9,60.6,56.6,43.7,39.8,28.4,45.4
2014,36.2,37.1,39.3,43.9,50.1,57.8,67,62.2,57.8,50.1,42.2,35.6,48.3
2015,38,40.8,43.2,43,49.1,61.5,62.4,62.8,58.6,51.1,32.9,M,49.4
2016,29.9,35.2,38.2,42.8,47.3,58.3,60.9,61.2,54.6,46.3,39.3,32.3,45.5
2017,27.3,31.6,36.7,40.1,49.2,58,64.2,64,53.4,44.7,40.7,33.9,45.3
2018,34.9,29.6,31.3,42.3,49.4,56.6,65.5,61.1,54.8,45.5,37.8,30.8,45
2019,32.5,23.3,32.3,42.6,45.4,56.6,60.7,61.7,52.5,42,36.7,32.2,43.2
2020,33.1,35.4,32.5,42.5,48.9,54.9,61.8,64.9,57.8,48.9,35.5,31.4,45.6
2021,31.9,31,34.3,42.9,48.6,60.8,67,61.2,56.1,43.5,40.6,28.1,45.5
2022,28.8,29.5,38.5,40.3,46.7,M,64.6,64,57.4,47.6,30.1,26.8,43.1
